niveau_CECR,level_1,NbSubord
A1,Moyenne,8.41
A1,Écart-Type,6.8
A1,Min,0.0
A1,Q25,3.25
A1,Méd.,7.0
A1,Q75,12.75
A1,Max,25.0
A2,Moyenne,13.31
A2,Écart-Type,11.43
A2,Min,2.0
A2,Q25,4.0
A2,Méd.,8.0
A2,Q75,18.5
A2,Max,47.0
B1,Moyenne,18.8
B1,Écart-Type,14.71
B1,Min,0.0
B1,Q25,6.0
B1,Méd.,16.5
B1,Q75,25.0
B1,Max,52.0
B2,Moyenne,19.5
B2,Écart-Type,15.87
B2,Min,0.0
B2,Q25,9.0
B2,Méd.,16.0
B2,Q75,25.75
B2,Max,70.0
C1-C2,Moyenne,45.75
C1-C2,Écart-Type,61.9
C1-C2,Min,10.0
C1-C2,Q25,18.75
C1-C2,Méd.,27.5
C1-C2,Q75,44.75
C1-C2,Max,374.0
